itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
280,1.795,0.781,5.236,1.851,0.959,9.874,4.844,3.934,14.266,0.583,0.587,1.317,1.498,4.52,1.523,3.318,3.555,1.427,0.778,1.244,3.419,1.171,2.943,1.079,1.053
281,1.597,0.712,4.939,2.012,0.899,10.539,4.841,3.853,16.594,0.794,0.534,1.637,1.277,5.465,1.624,2.792,3.447,1.632,0.84,1.148,3.413,1.099,2.862,1.042,1.011
282,1.35,0.666,4.524,2.139,0.82,10.324,5.091,3.724,18.015,0.974,0.526,1.83,1.068,6.141,1.725,2.22,3.213,1.674,0.87,1.038,3.008,1.123,2.634,0.938,0.941
283,1.119,0.665,4.117,2.195,0.737,9.294,5.414,3.515,18.307,1.073,0.55,1.828,0.902,6.448,1.769,1.711,2.918,1.564,0.863,0.919,2.332,1.231,2.317,0.781,0.848
284,0.947,0.706,3.818,2.16,0.676,7.828,5.615,3.238,17.493,1.079,0.59,1.637,0.786,6.411,1.741,1.384,2.617,1.371,0.828,0.804,1.608,1.379,1.978,0.617,0.751
285,0.846,0.76,3.661,2.056,0.661,6.335,5.473,2.974,16.06,1.005,0.631,1.333,0.712,6.11,1.663,1.317,2.353,1.19,0.777,0.709,1.073,1.531,1.688,0.495,0.678
286,0.787,0.79,3.677,1.914,0.703,5.173,4.921,2.831,14.961,0.888,0.664,1.023,0.666,5.677,1.576,1.472,2.153,1.103,0.722,0.657,0.866,1.654,1.503,0.442,0.65
287,0.76,0.776,4.028,1.748,0.795,4.576,4.152,2.883,14.642,0.799,0.69,0.815,0.643,5.231,1.516,1.711,2.04,1.153,0.67,0.663,0.979,1.728,1.461,0.453,0.671
288,0.802,0.724,5.005,1.598,0.908,4.697,3.58,3.125,14.876,0.801,0.709,0.789,0.642,4.898,1.498,1.862,1.994,1.322,0.622,0.726,1.271,1.753,1.577,0.498,0.729
289,0.958,0.661,6.771,1.542,1.005,5.534,3.542,3.465,14.99,0.92,0.718,0.941,0.656,4.748,1.52,1.827,1.964,1.568,0.571,0.824,1.599,1.748,1.822,0.548,0.807
290,1.224,0.612,9.093,1.651,1.07,6.842,4.077,3.783,14.613,1.134,0.717,1.182,0.674,4.748,1.568,1.609,1.868,1.831,0.512,0.923,1.913,1.718,2.124,0.589,0.893
291,1.539,0.593,11.427,1.94,1.098,8.299,4.944,3.99,13.985,1.376,0.711,1.402,0.685,4.791,1.63,1.356,1.679,2.054,0.454,0.993,2.214,1.65,2.426,0.624,0.976
292,1.796,0.603,13.015,2.343,1.094,9.532,5.8,4.041,13.64,1.565,0.706,1.515,0.688,4.8,1.689,1.246,1.444,2.216,0.426,1.014,2.515,1.549,2.713,0.66,1.046
293,1.887,0.626,13.283,2.751,1.066,10.127,6.313,3.968,14.085,1.646,0.71,1.483,0.691,4.73,1.721,1.378,1.255,2.312,0.451,0.988,2.814,1.432,2.982,0.702,1.092
294,1.774,0.645,12.166,3.055,1.024,9.903,6.352,3.873,15.407,1.596,0.72,1.337,0.702,4.599,1.703,1.694,1.172,2.342,0.54,0.932,3.033,1.312,3.192,0.748,1.102
295,1.547,0.65,10.076,3.199,0.98,8.961,6.07,3.874,17.335,1.463,0.723,1.142,0.722,4.49,1.626,2.042,1.197,2.303,0.673,0.863,3.077,1.19,3.277,0.783,1.068
296,1.414,0.66,7.745,3.209,0.95,7.59,5.686,4.034,19.262,1.355,0.708,0.98,0.743,4.465,1.499,2.282,1.312,2.192,0.809,0.792,2.9,1.078,3.183,0.799,0.994
297,1.621,0.708,6.019,3.179,0.95,6.237,5.389,4.338,20.551,1.398,0.67,0.904,0.752,4.513,1.361,2.385,1.477,2.009,0.903,0.72,2.51,1.008,2.902,0.794,0.894
298,2.324,0.822,5.257,3.201,0.984,5.32,5.258,4.687,20.86,1.653,0.62,0.909,0.737,4.535,1.27,2.444,1.669,1.771,0.932,0.648,2.067,0.997,2.476,0.775,0.788
299,3.451,1.003,5.496,3.301,1.039,4.971,5.267,4.948,20.179,2.06,0.572,0.945,0.694,4.38,1.279,2.592,1.878,1.514,0.9,0.574,1.64,1.042,2.01,0.752,0.695
300,4.671,1.227,6.232,3.382,1.092,5.067,5.364,5.012,18.699,2.449,0.541,0.931,0.628,3.976,1.409,2.831,2.087,1.283,0.842,0.505,1.292,1.102,1.622,0.735,0.626
301,5.544,1.454,6.873,3.335,1.12,5.326,5.543,4.833,16.7,2.625,0.531,0.831,0.552,3.317,1.633,3.086,2.228,1.11,0.797,0.449,1.026,1.127,1.397,0.73,0.581
302,5.772,1.636,6.997,3.181,1.108,5.517,5.779,4.452,14.533,2.507,0.537,0.689,0.483,2.563,1.885,3.186,2.23,1.009,0.793,0.416,0.827,1.085,1.359,0.741,0.558
303,5.356,1.732,6.443,3.071,1.053,5.425,6.065,4.006,12.554,2.136,0.547,0.577,0.435,1.925,2.092,3.039,2.083,0.998,0.839,0.411,0.687,1.013,1.487,0.773,0.56
304,4.613,1.718,5.301,3.171,0.965,4.94,6.289,3.653,11.515,1.652,0.553,0.537,0.413,1.59,2.214,2.7,1.828,1.088,0.917,0.433,0.619,0.99,1.717,0.824,0.589
305,4.026,1.599,3.925,3.568,0.861,4.194,6.356,3.473,12.183,1.233,0.552,0.585,0.415,1.589,2.26,2.4,1.545,1.265,0.997,0.475,0.635,1.085,1.969,0.88,0.643
306,3.989,1.413,2.783,4.232,0.752,3.496,6.246,3.418,14.293,1.001,0.548,0.706,0.428,1.817,2.273,2.389,1.316,1.486,1.044,0.52,0.779,1.337,2.17,0.916,0.705
307,4.593,1.208,2.285,5.0,0.646,3.17,6.12,3.371,17.134,0.977,0.543,0.859,0.44,2.094,2.29,2.766,1.189,1.685,1.035,0.55,1.126,1.727,2.283,0.915,0.755
308,5.571,1.032,2.557,5.643,0.567,3.362,6.146,3.225,19.719,1.088,0.538,0.993,0.441,2.252,2.311,3.446,1.158,1.776,0.962,0.557,1.693,2.172,2.289,0.876,0.777
309,6.431,0.923,3.43,5.942,0.547,4.022,6.382,2.957,21.151,1.228,0.533,1.075,0.442,2.217,2.308,4.184,1.165,1.7,0.84,0.543,2.474,2.55,2.19,0.814,0.771
310,6.72,0.886,4.548,5.778,0.607,4.924,6.897,2.641,20.821,1.319,0.534,1.109,0.46,2.043,2.263,4.711,1.145,1.458,0.695,0.528,3.308,2.749,2.015,0.747,0.757
311,6.275,0.905,5.536,5.194,0.743,5.821,7.813,2.397,18.935,1.341,0.542,1.135,0.512,1.847,2.184,4.897,1.046,1.118,0.563,0.536,3.997,2.711,1.785,0.693,0.765
312,5.273,0.947,5.938,4.374,0.919,6.418,9.286,2.313,16.793,1.3,0.563,1.204,0.599,1.718,2.107,4.641,0.905,0.776,0.476,0.586,4.251,2.48,1.522,0.659,0.818
313,4.108,0.977,5.886,3.572,1.073,6.77,11.392,2.392,16.317,1.231,0.598,1.36,0.703,1.734,2.067,4.262,0.812,0.529,0.448,0.681,4.047,2.172,1.256,0.647,0.921
314,3.151,0.972,5.221,2.969,1.144,6.544,14.024,2.548,18.845,1.17,0.648,1.613,0.797,1.962,2.077,3.688,0.842,0.428,0.469,0.802,3.377,1.905,1.03,0.655,1.057
315,2.578,0.937,4.352,2.634,1.105,5.988,16.883,2.673,24.718,1.163,0.713,1.952,0.86,2.571,2.125,3.195,1.034,0.482,0.514,0.925,2.572,1.745,0.899,0.688,1.196
316,2.352,0.896,3.455,2.567,0.978,5.168,19.397,2.716,32.855,1.265,0.791,2.36,0.885,3.839,2.183,2.773,1.412,0.68,0.558,1.033,2.008,1.751,0.916,0.755,1.312
317,2.342,0.869,2.732,2.778,0.818,4.354,20.783,2.71,40.663,1.495,0.873,2.786,0.889,5.924,2.221,2.478,1.995,0.986,0.584,1.121,2.044,1.961,1.098,0.869,1.391
318,2.475,0.863,2.262,3.299,0.678,3.829,20.458,2.764,45.652,1.833,0.94,3.177,0.9,8.613,2.229,2.255,2.76,1.324,0.586,1.195,2.793,2.347,1.414,1.046,1.438
319,2.757,0.876,2.017,4.122,0.599,3.676,18.412,2.968,46.576,2.215,0.974,3.483,0.943,11.315,2.214,2.097,3.614,1.606,0.566,1.255,4.049,2.818,1.798,1.286,1.458
320,3.221,0.901,1.899,5.158,0.581,3.889,15.109,3.314,43.45,2.546,0.959,3.661,1.017,13.232,2.201,1.947,4.419,1.757,0.536,1.286,5.372,3.268,2.151,1.553,1.453
321,3.806,0.931,1.814,6.194,0.599,4.401,11.397,3.71,37.347,2.733,0.894,3.688,1.102,13.746,2.201,1.833,5.018,1.746,0.511,1.268,6.302,3.597,2.386,1.791,1.413
322,4.339,0.974,1.765,6.909,0.635,5.003,8.19,4.04,30.323,2.711,0.795,3.54,1.166,12.907,2.203,1.747,5.284,1.579,0.501,1.186,6.519,3.735,2.464,1.937,1.325
323,4.697,1.032,1.701,7.063,0.687,5.412,5.928,4.194,23.941,2.473,0.685,3.205,1.188,11.324,2.191,1.686,5.172,1.288,0.508,1.046,5.984,3.656,2.387,1.944,1.186
324,4.792,1.09,1.628,6.589,0.756,5.467,4.604,4.112,18.78,2.089,0.586,2.716,1.162,9.792,2.159,1.681,4.739,0.936,0.525,0.875,4.952,3.399,2.179,1.808,1.012
325,4.656,1.121,1.83,5.681,0.841,5.218,3.936,3.841,14.725,1.691,0.515,2.165,1.099,8.863,2.121,1.746,4.151,0.621,0.541,0.711,3.854,3.114,1.9,1.567,0.831
326,4.396,1.101,2.702,4.669,0.933,4.87,3.793,3.553,11.429,1.394,0.476,1.654,1.015,8.666,2.084,1.86,3.586,0.432,0.547,0.584,3.106,2.996,1.625,1.29,0.674
327,4.171,1.013,4.451,3.899,1.014,4.712,4.214,3.466,9.494,1.259,0.467,1.273,0.93,9.002,2.048,1.959,3.155,0.412,0.538,0.508,2.912,3.166,1.401,1.038,0.559
328,4.064,0.859,6.943,3.532,1.057,5.019,5.16,3.682,9.406,1.266,0.483,1.064,0.855,9.393,2.018,2.039,2.844,0.544,0.517,0.474,3.198,3.584,1.245,0.848,0.496
329,4.024,0.671,9.61,3.484,1.05,5.734,6.579,4.13,11.212,1.334,0.519,0.994,0.794,9.356,1.996,2.039,2.556,0.754,0.49,0.468,3.653,4.049,1.143,0.72,0.481
330,3.94,0.502,11.736,3.544,1.01,6.608,8.44,4.608,14.605,1.375,0.567,1.0,0.748,8.735,1.99,1.961,2.215,0.999,0.466,0.481,3.965,4.315,1.08,0.635,0.508
331,3.713,0.409,12.792,3.526,0.977,7.36,10.528,4.889,18.203,1.34,0.613,1.027,0.715,7.678,1.998,1.852,1.857,1.245,0.451,0.516,3.986,4.211,1.04,0.565,0.568
332,3.357,0.423,12.494,3.35,0.982,7.603,12.403,4.826,20.473,1.232,0.647,1.037,0.689,6.432,2.001,1.76,1.554,1.44,0.447,0.572,3.736,3.723,1.008,0.508,0.647
333,2.958,0.534,11.136,3.044,1.042,7.14,13.548,4.405,20.269,1.13,0.662,1.055,0.666,5.163,1.975,1.717,1.382,1.55,0.451,0.642,3.354,3.025,1.015,0.484,0.739
334,2.577,0.702,9.438,2.698,1.143,6.23,13.648,3.771,17.794,1.137,0.663,1.133,0.642,3.963,1.904,1.734,1.385,1.565,0.464,0.711,3.015,2.391,1.119,0.507,0.848
335,2.239,0.873,7.96,2.431,1.246,5.279,12.768,3.169,14.204,1.318,0.657,1.305,0.617,2.939,1.799,1.798,1.544,1.5,0.49,0.764,2.846,2.047,1.339,0.569,0.984
336,1.959,0.999,7.027,2.35,1.302,4.716,11.332,2.856,10.807,1.66,0.655,1.567,0.598,2.2,1.693,1.886,1.778,1.389,0.521,0.797,2.869,2.044,1.613,0.649,1.148
337,1.744,1.056,6.491,2.477,1.286,4.58,10.05,2.986,8.615,2.058,0.663,1.847,0.593,1.901,1.628,1.968,1.959,1.258,0.548,0.816,3.002,2.25,1.827,0.721,1.327
338,1.56,1.046,6.031,2.704,1.207,4.799,9.629,3.524,8.338,2.366,0.688,2.046,0.611,2.001,1.628,2.002,1.99,1.118,0.558,0.84,3.126,2.41,1.871,0.769,1.493
339,1.348,0.993,5.474,2.885,1.104,5.154,10.306,4.265,9.948,2.472,0.737,2.095,0.657,2.319,1.686,1.988,1.859,0.984,0.548,0.883,3.174,2.361,1.722,0.784,1.608
340,1.097,0.927,4.714,2.926,1.034,5.264,11.736,4.942,12.753,2.359,0.819,2.017,0.733,2.639,1.767,1.947,1.633,0.901,0.524,0.948,3.15,2.144,1.47,0.768,1.644
341,0.867,0.876,3.859,2.843,1.033,5.049,13.158,5.346,15.929,2.094,0.937,1.883,0.83,2.775,1.832,1.966,1.406,0.88,0.496,1.021,3.102,1.999,1.3,0.732,1.6
342,0.743,0.847,3.173,2.743,1.104,4.609,13.805,5.404,18.844,1.781,1.085,1.775,0.93,2.656,1.85,2.091,1.258,0.914,0.478,1.081,3.059,2.145,1.352,0.687,1.504
343,0.816,0.83,2.719,2.83,1.217,4.19,13.196,5.215,21.051,1.504,1.234,1.746,1.019,2.34,1.817,2.343,1.214,0.991,0.479,1.114,2.965,2.633,1.639,0.649,1.394
344,1.188,0.808,2.525,3.316,1.319,3.989,11.455,4.958,22.319,1.326,1.343,1.796,1.083,1.965,1.743,2.676,1.239,1.091,0.494,1.113,2.804,3.323,2.045,0.634,1.296
345,1.9,0.776,2.551,4.3,1.356,4.047,9.19,4.777,22.753,1.233,1.374,1.847,1.115,1.696,1.643,2.932,1.284,1.181,0.512,1.082,2.539,3.972,2.387,0.655,1.214
