itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
1028,17.2,1.058,88.092,13.246,0.862,53.544,0.524,1.226,2.228,2.968,0.42,2.237,0.314,1.729,1.028,1.853,2.039,0.601,0.525,0.358,3.099,2.219,2.094,2.258,1.51
1029,13.179,1.009,70.461,10.298,0.814,44.5,0.4,1.077,3.038,2.855,0.388,2.426,0.305,1.6,1.028,1.762,1.892,0.687,0.511,0.321,3.276,1.781,2.213,1.991,1.488
1030,9.278,1.018,51.872,7.423,0.822,34.778,0.319,0.956,3.663,2.834,0.359,2.733,0.301,1.391,0.988,1.751,1.824,0.887,0.493,0.284,3.428,1.429,2.406,1.833,1.476
1031,6.31,1.067,36.468,5.202,0.867,26.294,0.278,0.92,3.92,2.871,0.329,3.085,0.293,1.191,0.923,1.638,1.771,1.176,0.47,0.255,3.383,1.216,2.654,1.869,1.497
1032,4.539,1.108,26.18,3.818,0.905,20.122,0.267,1.003,3.701,2.859,0.303,3.333,0.279,1.077,0.86,1.479,1.689,1.49,0.443,0.243,3.181,1.132,2.9,2.106,1.573
1033,3.673,1.098,19.449,3.068,0.905,15.443,0.278,1.206,3.052,2.716,0.287,3.345,0.262,1.072,0.833,1.23,1.586,1.743,0.417,0.251,2.825,1.128,3.082,2.461,1.706
1034,3.22,1.025,14.258,2.643,0.862,11.36,0.315,1.486,2.245,2.435,0.287,3.083,0.251,1.148,0.862,1.049,1.486,1.842,0.401,0.28,2.378,1.18,3.157,2.812,1.871
1035,2.847,0.904,9.681,2.325,0.795,7.855,0.381,1.777,1.479,2.072,0.302,2.616,0.255,1.236,0.947,0.981,1.407,1.76,0.404,0.33,2.049,1.274,3.11,3.058,2.022
1036,2.5,0.775,6.103,2.101,0.729,5.361,0.474,2.011,1.035,1.734,0.33,2.11,0.276,1.266,1.065,1.071,1.364,1.535,0.429,0.396,1.833,1.411,2.952,3.156,2.114
1037,2.339,0.68,3.991,2.072,0.685,4.162,0.581,2.143,0.809,1.488,0.366,1.702,0.313,1.212,1.18,1.317,1.367,1.252,0.471,0.465,1.796,1.564,2.724,3.135,2.121
1038,2.457,0.643,3.732,2.238,0.667,4.217,0.688,2.155,0.756,1.354,0.407,1.451,0.355,1.113,1.256,1.627,1.42,1.002,0.525,0.521,1.803,1.694,2.506,3.058,2.045
1039,3.13,0.663,6.847,2.729,0.664,6.551,0.773,2.07,0.733,1.309,0.451,1.349,0.393,1.037,1.275,1.916,1.537,0.852,0.582,0.546,1.816,1.771,2.372,3.008,1.911
1040,4.809,0.718,15.258,3.779,0.66,12.417,0.829,1.938,0.715,1.329,0.495,1.356,0.42,1.023,1.244,2.112,1.707,0.82,0.629,0.535,1.769,1.777,2.356,3.045,1.75
1041,7.701,0.785,29.515,5.49,0.65,22.093,0.84,1.834,0.711,1.408,0.533,1.431,0.436,1.051,1.184,2.193,1.903,0.875,0.66,0.491,1.675,1.705,2.414,3.18,1.587
1042,11.388,0.849,46.973,7.62,0.648,33.778,0.796,1.839,0.729,1.54,0.56,1.546,0.444,1.065,1.117,2.17,2.077,0.968,0.677,0.431,1.569,1.573,2.481,3.365,1.439
1043,14.975,0.898,62.742,9.656,0.661,44.059,0.713,2.002,0.809,1.701,0.568,1.676,0.447,1.026,1.061,2.125,2.184,1.052,0.687,0.374,1.477,1.402,2.511,3.525,1.329
1044,17.33,0.935,71.387,10.947,0.686,49.337,0.62,2.304,0.981,1.869,0.552,1.786,0.445,0.94,1.023,2.114,2.188,1.123,0.691,0.336,1.405,1.224,2.489,3.59,1.278
1045,17.604,0.973,70.281,10.997,0.72,47.867,0.545,2.657,1.266,2.002,0.515,1.831,0.436,0.85,1.001,2.136,2.059,1.184,0.686,0.321,1.373,1.064,2.392,3.525,1.304
1046,15.667,1.021,59.845,9.736,0.752,40.221,0.514,2.945,1.598,2.065,0.464,1.793,0.421,0.81,0.981,2.227,1.808,1.234,0.673,0.324,1.39,0.946,2.223,3.34,1.401
1047,12.144,1.069,44.05,7.521,0.769,29.214,0.544,3.058,1.944,2.03,0.41,1.681,0.402,0.865,0.946,2.221,1.496,1.263,0.65,0.335,1.433,0.905,2.01,3.078,1.543
1048,8.171,1.098,28.058,5.032,0.76,18.366,0.631,2.934,2.136,1.906,0.36,1.541,0.385,1.031,0.888,2.252,1.205,1.264,0.615,0.342,1.517,0.961,1.815,2.805,1.687
1049,4.85,1.09,15.677,2.939,0.727,10.138,0.752,2.59,2.2,1.744,0.32,1.442,0.372,1.279,0.811,2.039,0.989,1.244,0.574,0.338,1.588,1.096,1.699,2.59,1.782
1050,2.845,1.06,8.629,1.678,0.695,5.574,0.867,2.108,2.093,1.631,0.29,1.447,0.36,1.554,0.728,1.879,0.865,1.219,0.539,0.321,1.701,1.277,1.669,2.489,1.789
