itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
575,2.781,0.75,17.611,0.877,0.722,3.395,1.215,1.631,16.773,1.623,0.365,1.01,0.484,1.099,3.139,5.449,3.032,1.367,0.453,0.297,1.6,2.988,0.517,0.771,0.667
576,4.401,0.722,29.759,1.329,0.694,6.675,1.156,1.64,21.435,1.669,0.369,0.946,0.541,1.176,3.345,4.903,2.766,1.087,0.456,0.293,1.277,2.695,0.45,0.803,0.607
577,6.564,0.691,48.223,1.916,0.694,11.808,1.128,1.722,27.028,1.751,0.374,0.925,0.621,1.258,3.452,4.53,2.461,0.928,0.451,0.296,1.092,2.337,0.462,0.779,0.575
578,8.837,0.669,65.998,2.499,0.72,16.884,1.058,1.833,33.632,1.852,0.388,0.966,0.718,1.337,3.466,4.493,2.152,0.864,0.439,0.3,1.122,2.0,0.56,0.709,0.579
579,10.594,0.654,81.141,2.929,0.753,21.255,0.924,1.916,38.985,1.928,0.42,1.069,0.814,1.393,3.402,4.481,1.837,0.832,0.423,0.31,1.211,1.732,0.733,0.623,0.631
580,11.23,0.643,85.74,3.097,0.769,23.025,0.778,1.944,42.838,1.914,0.477,1.202,0.891,1.403,3.283,4.308,1.498,0.778,0.414,0.335,1.248,1.526,0.948,0.558,0.747
581,10.501,0.629,79.395,3.007,0.763,21.596,0.674,1.94,44.226,1.767,0.557,1.307,0.937,1.365,3.14,3.913,1.144,0.701,0.416,0.385,1.187,1.335,1.17,0.539,0.931
582,8.648,0.605,63.556,2.737,0.749,17.91,0.666,1.962,43.242,1.488,0.651,1.329,0.956,1.272,2.999,3.357,0.831,0.627,0.434,0.46,1.085,1.157,1.393,0.573,1.166
583,6.416,0.578,44.041,2.432,0.752,12.929,0.78,2.064,40.582,1.136,0.748,1.257,0.972,1.136,2.878,2.668,0.645,0.585,0.474,0.55,1.078,1.027,1.639,0.651,1.413
584,4.591,0.555,30.283,2.166,0.79,9.566,0.979,2.264,37.457,0.814,0.84,1.12,1.011,0.975,2.779,2.261,0.638,0.583,0.539,0.637,1.275,1.003,1.927,0.746,1.611
585,3.749,0.546,28.445,1.947,0.864,9.243,1.212,2.529,34.695,0.588,0.916,0.968,1.093,0.818,2.709,1.932,0.799,0.61,0.631,0.7,1.675,1.116,2.239,0.828,1.705
586,3.883,0.565,38.984,1.727,0.964,11.928,1.422,2.796,32.155,0.464,0.965,0.84,1.206,0.703,2.707,1.936,1.05,0.641,0.741,0.724,2.203,1.343,2.528,0.874,1.668
587,4.631,0.623,56.137,1.553,1.071,16.501,1.561,3.009,29.312,0.417,0.979,0.789,1.313,0.662,2.812,1.84,1.322,0.666,0.857,0.706,2.615,1.616,2.724,0.881,1.512
588,5.524,0.719,70.664,1.534,1.164,20.022,1.636,3.127,26.095,0.426,0.953,0.844,1.364,0.72,3.034,1.942,1.624,0.696,0.967,0.653,2.813,1.866,2.766,0.866,1.284
589,6.118,0.839,76.389,1.752,1.235,21.45,1.699,3.142,22.658,0.498,0.884,1.008,1.326,0.881,3.337,2.242,1.976,0.746,1.066,0.58,2.695,2.061,2.635,0.859,1.047
590,6.246,0.961,71.7,2.199,1.275,20.06,1.776,3.078,19.567,0.621,0.782,1.239,1.198,1.138,3.644,2.872,2.345,0.81,1.152,0.506,2.362,2.195,2.363,0.881,0.849
591,5.945,1.056,58.529,2.741,1.277,16.541,1.902,2.972,16.382,0.758,0.663,1.462,1.007,1.457,3.849,3.748,2.647,0.877,1.214,0.442,1.948,2.278,2.0,0.928,0.71
592,5.357,1.103,41.093,3.177,1.23,12.044,2.052,2.856,13.909,0.888,0.549,1.617,0.797,1.787,3.859,4.67,2.779,0.931,1.241,0.392,1.635,2.301,1.61,0.972,0.622
593,4.634,1.089,24.545,3.323,1.131,7.776,2.142,2.754,12.03,1.004,0.459,1.652,0.612,2.074,3.652,5.359,2.671,0.962,1.223,0.359,1.501,2.245,1.248,0.979,0.565
594,3.928,1.013,14.116,3.136,0.984,5.711,2.098,2.675,11.064,1.11,0.401,1.555,0.48,2.269,3.306,5.617,2.324,0.965,1.153,0.342,1.561,2.098,0.946,0.931,0.527
595,3.341,0.892,9.497,2.717,0.811,5.076,1.921,2.628,10.823,1.213,0.377,1.34,0.408,2.339,2.953,5.279,1.82,0.945,1.033,0.342,1.672,1.875,0.717,0.847,0.517
596,2.902,0.75,9.535,2.256,0.645,5.801,1.633,2.628,10.899,1.303,0.379,1.067,0.386,2.274,2.704,4.665,1.294,0.907,0.886,0.358,1.81,1.635,0.571,0.768,0.547
597,2.676,0.614,10.994,1.943,0.518,6.563,1.293,2.657,11.611,1.366,0.4,0.814,0.392,2.087,2.592,3.914,0.862,0.853,0.745,0.39,1.833,1.459,0.519,0.735,0.625
598,2.776,0.503,13.267,1.876,0.446,7.081,1.007,2.687,12.287,1.384,0.437,0.643,0.409,1.807,2.574,3.817,0.573,0.782,0.638,0.434,1.756,1.378,0.545,0.758,0.748
599,3.213,0.421,18.932,1.979,0.425,8.068,0.832,2.683,12.946,1.372,0.479,0.599,0.421,1.473,2.583,4.364,0.436,0.691,0.573,0.48,1.583,1.364,0.63,0.813,0.887
