itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
11,0.711,0.173,5.118,0.418,0.322,2.16,1.594,0.448,4.592,0.406,0.175,0.307,0.212,1.246,0.182,1.485,2.185,0.926,0.594,0.343,0.726,0.982,0.37,0.487,0.366
12,0.533,0.168,3.734,0.401,0.286,1.809,1.482,0.464,3.653,0.339,0.168,0.241,0.213,1.15,0.188,1.759,2.486,0.89,0.612,0.326,0.464,0.943,0.312,0.469,0.343
13,0.382,0.184,2.604,0.388,0.274,1.495,1.301,0.471,3.829,0.309,0.165,0.202,0.215,0.966,0.181,2.282,2.792,0.895,0.618,0.317,0.408,0.864,0.27,0.45,0.318
14,0.316,0.215,1.898,0.388,0.281,1.213,1.089,0.471,4.219,0.322,0.165,0.201,0.219,0.758,0.163,2.946,3.012,0.943,0.623,0.319,0.489,0.769,0.247,0.435,0.291
15,0.329,0.247,1.564,0.4,0.291,1.095,0.927,0.46,4.72,0.371,0.167,0.229,0.222,0.591,0.14,3.564,3.065,1.041,0.626,0.338,0.595,0.697,0.253,0.43,0.262
16,0.378,0.27,1.535,0.405,0.295,1.112,0.889,0.436,5.15,0.436,0.171,0.275,0.224,0.503,0.12,4.027,2.935,1.191,0.625,0.378,0.74,0.671,0.297,0.439,0.233
17,0.412,0.277,1.639,0.392,0.288,1.29,0.982,0.398,5.378,0.5,0.173,0.317,0.22,0.493,0.11,4.215,2.66,1.36,0.612,0.434,0.819,0.691,0.389,0.456,0.206
18,0.408,0.268,1.9,0.357,0.273,1.585,1.148,0.352,5.337,0.544,0.171,0.341,0.208,0.529,0.112,4.207,2.326,1.479,0.587,0.496,0.869,0.734,0.525,0.472,0.186
19,0.39,0.254,2.264,0.316,0.26,1.986,1.309,0.308,5.032,0.565,0.163,0.352,0.191,0.569,0.125,4.056,2.035,1.495,0.556,0.548,0.841,0.779,0.701,0.477,0.177
20,0.411,0.252,2.755,0.303,0.26,2.435,1.398,0.272,4.559,0.571,0.148,0.373,0.172,0.58,0.144,3.846,1.851,1.412,0.538,0.578,0.79,0.805,0.895,0.467,0.18
21,0.53,0.273,3.413,0.35,0.276,2.886,1.394,0.252,4.074,0.577,0.129,0.423,0.156,0.548,0.163,3.628,1.773,1.28,0.549,0.58,0.724,0.798,1.072,0.443,0.193
22,0.767,0.313,4.2,0.474,0.306,3.301,1.315,0.25,3.755,0.597,0.11,0.504,0.15,0.474,0.176,3.453,1.767,1.16,0.596,0.56,0.693,0.767,1.186,0.413,0.211
23,1.075,0.358,4.982,0.655,0.338,3.623,1.212,0.266,3.74,0.63,0.1,0.596,0.155,0.371,0.183,3.396,1.795,1.086,0.663,0.533,0.716,0.734,1.2,0.383,0.228
24,1.361,0.389,5.47,0.84,0.357,3.76,1.128,0.296,4.142,0.662,0.102,0.664,0.171,0.268,0.187,3.432,1.849,1.046,0.722,0.51,0.79,0.703,1.105,0.36,0.242
25,1.525,0.392,5.529,0.958,0.356,3.689,1.088,0.331,4.857,0.667,0.117,0.675,0.193,0.203,0.192,3.565,1.941,1.008,0.748,0.498,0.906,0.669,0.928,0.349,0.253
26,1.517,0.367,5.086,0.964,0.334,3.383,1.065,0.364,5.694,0.628,0.138,0.618,0.213,0.198,0.197,3.717,2.066,0.944,0.729,0.496,1.027,0.618,0.721,0.351,0.267
27,1.35,0.325,4.241,0.87,0.297,2.895,1.025,0.388,6.328,0.546,0.158,0.509,0.223,0.246,0.202,3.792,2.189,0.846,0.679,0.501,1.136,0.543,0.538,0.364,0.288
28,1.085,0.28,3.275,0.727,0.254,2.375,0.953,0.397,6.482,0.439,0.172,0.39,0.222,0.319,0.204,3.706,2.257,0.722,0.626,0.507,1.182,0.451,0.415,0.384,0.319
29,0.823,0.247,2.767,0.599,0.215,2.042,0.858,0.389,6.2,0.345,0.175,0.309,0.208,0.385,0.201,3.425,2.223,0.614,0.598,0.509,1.158,0.362,0.359,0.405,0.356
30,0.826,0.232,4.018,0.622,0.187,2.447,0.754,0.366,5.487,0.3,0.171,0.304,0.187,0.421,0.192,2.989,2.078,0.607,0.612,0.511,1.058,0.293,0.356,0.423,0.395
31,1.369,0.233,8.889,0.925,0.177,4.382,0.659,0.331,4.752,0.321,0.166,0.389,0.167,0.423,0.18,2.639,1.857,0.797,0.669,0.519,0.9,0.247,0.381,0.44,0.427
32,2.534,0.238,18.492,1.529,0.18,8.244,0.581,0.292,4.069,0.397,0.163,0.547,0.154,0.405,0.165,2.524,1.606,1.24,0.752,0.532,0.715,0.219,0.41,0.462,0.446
33,4.12,0.241,31.642,2.32,0.191,13.503,0.509,0.254,3.56,0.5,0.166,0.742,0.149,0.386,0.152,2.731,1.366,1.877,0.836,0.547,0.547,0.208,0.427,0.494,0.45
34,5.688,0.243,45.094,3.096,0.209,18.81,0.443,0.226,3.154,0.602,0.17,0.941,0.152,0.38,0.141,3.162,1.188,2.585,0.902,0.556,0.452,0.213,0.441,0.539,0.439
35,6.741,0.249,54.798,3.618,0.231,22.486,0.385,0.208,2.873,0.67,0.173,1.101,0.16,0.386,0.132,3.63,1.129,3.217,0.948,0.555,0.502,0.233,0.475,0.592,0.421
36,6.906,0.26,57.131,3.722,0.255,23.188,0.34,0.2,2.596,0.685,0.171,1.19,0.169,0.396,0.125,3.947,1.243,3.668,0.978,0.549,0.759,0.272,0.562,0.638,0.405
37,6.108,0.279,51.328,3.374,0.284,20.778,0.323,0.204,2.326,0.643,0.165,1.187,0.177,0.399,0.121,3.983,1.55,3.915,0.998,0.544,1.181,0.327,0.708,0.665,0.397
38,4.637,0.304,39.305,2.7,0.316,16.02,0.343,0.22,2.041,0.571,0.156,1.104,0.183,0.387,0.121,3.731,1.983,3.999,1.003,0.542,1.687,0.39,0.891,0.668,0.399
39,2.991,0.332,25.038,1.922,0.349,10.567,0.392,0.243,1.717,0.5,0.148,0.98,0.185,0.368,0.126,3.323,2.425,3.986,0.985,0.539,2.115,0.45,1.061,0.651,0.405
40,1.631,0.358,13.216,1.237,0.374,5.976,0.447,0.265,1.367,0.456,0.143,0.861,0.183,0.354,0.133,2.907,2.726,3.912,0.937,0.526,2.329,0.497,1.159,0.619,0.41
41,0.811,0.372,6.539,0.765,0.389,3.231,0.487,0.278,1.047,0.443,0.138,0.773,0.177,0.351,0.14,2.618,2.794,3.755,0.893,0.493,2.244,0.524,1.149,0.579,0.41
42,0.506,0.366,4.85,0.508,0.389,2.203,0.496,0.276,0.814,0.444,0.132,0.719,0.169,0.358,0.144,2.469,2.628,3.454,0.91,0.441,1.899,0.532,1.034,0.55,0.403
43,0.513,0.337,5.776,0.398,0.379,2.138,0.471,0.263,0.7,0.432,0.122,0.68,0.161,0.369,0.141,2.402,2.312,2.987,1.032,0.379,1.435,0.538,0.853,0.563,0.391
44,0.634,0.291,6.647,0.37,0.363,2.193,0.421,0.249,0.673,0.387,0.105,0.627,0.155,0.381,0.133,2.354,1.959,2.429,1.254,0.327,0.959,0.552,0.673,0.637,0.376
45,0.799,0.243,6.519,0.402,0.348,2.09,0.362,0.246,0.686,0.315,0.086,0.55,0.15,0.387,0.121,2.337,1.666,1.909,1.511,0.299,0.659,0.579,0.56,0.77,0.357
46,0.97,0.208,5.635,0.477,0.336,1.967,0.308,0.255,0.708,0.236,0.068,0.462,0.146,0.383,0.109,2.381,1.457,1.544,1.705,0.299,0.547,0.607,0.552,0.929,0.336
47,1.105,0.195,4.32,0.575,0.33,1.944,0.266,0.271,0.742,0.172,0.056,0.386,0.144,0.364,0.1,2.496,1.272,1.378,1.752,0.319,0.604,0.626,0.631,1.066,0.314
48,1.163,0.207,3.0,0.677,0.333,2.171,0.242,0.283,0.816,0.137,0.054,0.343,0.143,0.329,0.095,2.627,1.054,1.365,1.621,0.345,0.727,0.623,0.741,1.131,0.295
49,1.134,0.237,2.044,0.769,0.352,2.683,0.236,0.282,1.048,0.129,0.063,0.339,0.146,0.289,0.094,2.69,0.819,1.418,1.35,0.372,0.84,0.602,0.82,1.102,0.284
50,1.048,0.275,1.536,0.847,0.395,3.379,0.248,0.271,1.57,0.136,0.081,0.368,0.152,0.259,0.098,2.669,0.643,1.442,1.026,0.397,0.919,0.573,0.826,0.999,0.285
51,0.963,0.311,1.451,0.904,0.465,4.026,0.271,0.255,2.277,0.147,0.105,0.412,0.16,0.243,0.104,2.599,0.593,1.382,0.742,0.421,0.924,0.539,0.747,0.874,0.298
52,0.934,0.334,1.617,0.931,0.546,4.389,0.295,0.25,3.056,0.161,0.131,0.453,0.169,0.248,0.114,2.583,0.69,1.256,0.561,0.44,0.914,0.5,0.602,0.779,0.318
53,0.986,0.336,1.897,0.915,0.612,4.335,0.334,0.281,3.767,0.192,0.154,0.48,0.179,0.271,0.13,2.704,0.888,1.135,0.497,0.449,0.904,0.455,0.442,0.739,0.339
54,1.1,0.315,2.189,0.857,0.634,3.868,0.415,0.365,5.315,0.257,0.17,0.489,0.189,0.31,0.153,2.964,1.113,1.1,0.519,0.44,0.94,0.408,0.319,0.739,0.351
55,1.215,0.274,2.486,0.778,0.601,3.17,0.553,0.505,8.004,0.366,0.178,0.481,0.197,0.362,0.183,3.245,1.309,1.21,0.576,0.413,1.006,0.374,0.269,0.744,0.349
56,1.267,0.231,2.662,0.702,0.525,2.427,0.746,0.676,12.017,0.513,0.177,0.463,0.2,0.422,0.215,3.387,1.464,1.453,0.623,0.376,1.057,0.36,0.298,0.723,0.333
