itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
142,1.629,0.676,0.678,1.232,0.758,0.68,1.015,3.827,2.769,1.612,1.279,1.936,1.225,1.859,3.327,1.675,0.659,1.257,0.831,1.294,0.859,1.096,1.609,0.828,2.059
143,1.356,0.725,0.751,1.059,0.702,0.936,1.174,3.99,3.256,1.324,1.279,1.768,1.226,1.934,3.423,1.424,0.806,1.095,0.891,1.296,1.067,1.144,1.397,0.898,1.971
144,1.141,0.78,0.663,0.954,0.645,0.79,1.225,3.995,3.54,1.09,1.245,1.583,1.193,1.909,3.623,1.479,0.925,0.99,0.923,1.257,1.253,1.144,1.273,1.014,1.797
145,1.026,0.815,0.775,0.918,0.591,1.3,1.144,3.844,3.68,0.998,1.183,1.473,1.141,1.793,3.97,1.495,0.983,0.942,0.926,1.18,1.358,1.09,1.261,1.149,1.571
146,0.996,0.814,0.962,0.893,0.559,1.041,0.95,3.581,3.398,1.065,1.098,1.457,1.094,1.634,4.448,2.003,0.969,0.924,0.91,1.075,1.311,0.997,1.363,1.279,1.339
147,1.02,0.778,1.092,0.866,0.577,1.374,0.703,3.26,3.059,1.231,0.999,1.527,1.068,1.508,4.967,2.707,0.885,0.897,0.892,0.957,1.296,0.885,1.537,1.387,1.156
148,1.002,0.724,1.643,0.772,0.655,1.195,0.476,2.921,2.468,1.373,0.898,1.6,1.069,1.485,5.379,3.555,0.757,0.846,0.888,0.852,1.129,0.776,1.725,1.487,1.08
149,0.923,0.677,1.729,0.681,0.776,1.191,0.342,2.627,2.064,1.417,0.81,1.635,1.098,1.594,5.543,4.385,0.631,0.771,0.897,0.785,1.125,0.68,1.86,1.609,1.138
150,0.764,0.665,2.243,0.599,0.904,1.273,0.314,2.517,1.707,1.311,0.749,1.586,1.147,1.793,5.398,5.018,0.622,0.71,0.925,0.776,1.009,0.602,1.898,1.783,1.306
151,0.582,0.701,2.116,0.58,1.002,1.245,0.359,2.782,1.596,1.092,0.715,1.449,1.196,1.97,4.99,6.37,0.836,0.762,0.984,0.825,0.996,0.538,1.814,2.02,1.508
152,0.424,0.774,2.139,0.606,1.04,1.387,0.418,3.526,1.599,0.819,0.691,1.249,1.217,2.012,4.447,9.302,1.316,1.014,1.083,0.913,0.966,0.477,1.623,2.298,1.654
153,0.333,0.856,1.963,0.654,1.013,1.565,0.457,4.662,1.689,0.566,0.654,1.022,1.183,1.856,3.912,14.187,1.988,1.472,1.219,1.012,0.906,0.418,1.362,2.556,1.674
154,0.317,0.916,1.776,0.696,0.933,1.634,0.469,5.9,1.651,0.373,0.595,0.809,1.087,1.531,3.477,19.963,2.677,2.057,1.365,1.098,0.892,0.384,1.087,2.72,1.568
155,0.37,0.931,1.978,0.712,0.824,1.884,0.458,6.864,1.594,0.263,0.52,0.637,0.946,1.129,3.157,25.517,3.18,2.616,1.476,1.15,0.836,0.395,0.861,2.727,1.398
156,0.502,0.903,2.474,0.688,0.714,1.959,0.439,7.233,1.404,0.229,0.449,0.513,0.798,0.748,2.913,27.987,3.344,2.983,1.505,1.163,0.804,0.456,0.724,2.562,1.252
157,0.745,0.848,3.491,0.63,0.624,2.007,0.428,6.89,1.245,0.242,0.408,0.435,0.686,0.479,2.693,27.491,3.134,3.037,1.424,1.144,0.766,0.549,0.682,2.258,1.191
158,1.126,0.789,5.077,0.568,0.569,2.09,0.431,5.978,1.099,0.275,0.416,0.393,0.647,0.391,2.478,22.739,2.655,2.771,1.24,1.114,0.655,0.642,0.712,1.894,1.223
159,1.601,0.749,6.445,0.521,0.563,2.002,0.44,4.861,1.059,0.311,0.474,0.383,0.688,0.493,2.323,16.946,2.071,2.279,1.003,1.093,0.645,0.711,0.776,1.568,1.309
160,2.067,0.737,8.363,0.522,0.608,2.346,0.448,3.953,1.111,0.332,0.56,0.395,0.786,0.748,2.318,10.306,1.543,1.703,0.786,1.085,0.546,0.74,0.839,1.364,1.388
161,2.38,0.745,8.297,0.549,0.694,2.0,0.441,3.501,1.232,0.342,0.641,0.42,0.89,1.066,2.518,6.009,1.154,1.185,0.651,1.08,0.697,0.731,0.871,1.324,1.403
162,2.447,0.754,9.167,0.604,0.796,2.801,0.421,3.495,1.386,0.334,0.687,0.457,0.952,1.358,2.897,3.234,0.908,0.796,0.618,1.053,0.814,0.68,0.846,1.438,1.34
163,2.255,0.744,7.102,0.643,0.875,2.313,0.389,3.745,1.568,0.332,0.69,0.503,0.949,1.543,3.347,2.329,0.742,0.547,0.661,0.991,1.159,0.61,0.783,1.649,1.225
164,1.87,0.703,6.627,0.661,0.895,3.095,0.358,4.032,1.793,0.348,0.658,0.572,0.886,1.571,3.721,1.951,0.621,0.394,0.732,0.896,1.471,0.535,0.707,1.878,1.107
165,1.43,0.64,3.981,0.635,0.85,2.411,0.322,4.221,2.207,0.405,0.612,0.642,0.785,1.429,3.899,1.778,0.587,0.304,0.789,0.785,1.883,0.472,0.65,2.038,1.038
166,1.058,0.575,2.885,0.59,0.764,2.557,0.292,4.304,2.729,0.493,0.572,0.713,0.677,1.161,3.865,1.569,0.704,0.268,0.803,0.687,2.171,0.437,0.632,2.072,1.049
167,0.814,0.536,1.546,0.524,0.691,2.155,0.266,4.339,3.338,0.579,0.549,0.751,0.585,0.843,3.736,1.379,0.939,0.264,0.774,0.623,2.392,0.462,0.666,1.989,1.143
168,0.8,0.548,1.328,0.468,0.68,2.111,0.247,4.374,3.908,0.642,0.54,0.757,0.524,0.56,3.701,1.292,1.223,0.271,0.736,0.597,2.477,0.589,0.759,1.859,1.292
169,1.623,0.62,4.934,0.529,0.756,3.211,0.237,4.412,4.086,0.761,0.541,0.751,0.496,0.377,3.921,1.509,1.546,0.31,0.759,0.609,2.442,0.854,0.899,1.779,1.452
170,4.132,0.744,17.742,0.845,0.9,6.771,0.24,4.409,4.103,1.078,0.552,0.767,0.495,0.306,4.442,2.942,2.046,0.485,0.923,0.654,2.436,1.251,1.052,1.813,1.573
171,8.715,0.892,42.197,1.473,1.066,13.581,0.266,4.299,3.694,1.671,0.575,0.827,0.518,0.318,5.158,5.873,2.895,0.893,1.258,0.726,2.368,1.726,1.175,1.962,1.622
172,15.095,1.019,79.183,2.395,1.199,23.737,0.327,4.06,3.402,2.493,0.614,0.922,0.56,0.377,5.864,9.761,4.131,1.562,1.713,0.818,2.398,2.175,1.241,2.166,1.607
173,22.317,1.089,126.779,3.495,1.265,36.836,0.414,3.758,3.01,3.367,0.668,1.022,0.622,0.452,6.372,14.221,5.571,2.366,2.158,0.918,2.502,2.499,1.271,2.325,1.585
174,29.046,1.088,179.397,4.62,1.26,51.321,0.516,3.49,2.88,4.104,0.727,1.084,0.706,0.535,6.613,16.638,6.826,3.071,2.445,1.009,2.6,2.623,1.297,2.347,1.626
175,33.862,1.022,227.607,5.563,1.197,64.746,0.618,3.327,2.768,4.492,0.781,1.054,0.807,0.62,6.662,17.682,7.474,3.438,2.469,1.08,2.817,2.548,1.353,2.202,1.775
176,35.756,0.921,259.742,6.154,1.104,73.58,0.713,3.299,2.677,4.468,0.823,0.928,0.918,0.715,6.69,15.657,7.232,3.333,2.225,1.125,2.888,2.305,1.411,1.924,2.019
177,34.419,0.834,269.327,6.288,1.019,76.329,0.793,3.4,2.56,4.055,0.85,0.721,1.024,0.802,6.859,12.567,6.152,2.807,1.811,1.145,2.863,1.986,1.434,1.597,2.29
178,30.338,0.804,251.152,5.979,0.976,70.765,0.854,3.585,2.389,3.415,0.867,0.51,1.109,0.853,7.222,8.627,4.601,2.05,1.38,1.142,2.667,1.687,1.375,1.314,2.495
179,24.545,0.844,211.95,5.331,0.987,59.618,0.891,3.805,2.293,2.727,0.878,0.375,1.156,0.86,7.689,5.315,3.094,1.333,1.07,1.127,2.262,1.503,1.242,1.136,2.569
180,18.384,0.939,158.772,4.524,1.038,44.01,0.9,3.991,2.337,2.158,0.887,0.378,1.161,0.825,8.092,3.264,2.012,0.873,0.945,1.109,1.842,1.447,1.063,1.076,2.507
181,13.111,1.059,106.212,3.719,1.096,29.362,0.879,4.054,2.47,1.838,0.893,0.541,1.134,0.765,8.314,2.12,1.479,0.728,0.978,1.091,1.379,1.477,0.903,1.099,2.354
182,9.593,1.186,64.371,3.057,1.12,17.982,0.832,3.908,2.712,1.822,0.891,0.839,1.095,0.706,8.344,1.641,1.372,0.828,1.066,1.07,1.084,1.533,0.817,1.143,2.171
183,8.608,1.32,45.684,2.688,1.087,12.783,0.778,3.53,2.745,2.148,0.877,1.236,1.065,0.681,8.256,1.475,1.495,1.06,1.113,1.038,0.916,1.594,0.851,1.145,2.009
184,10.445,1.461,55.633,2.817,1.008,16.036,0.744,2.986,2.65,2.899,0.852,1.724,1.063,0.717,8.133,1.451,1.725,1.371,1.076,0.994,0.833,1.694,1.059,1.078,1.889
185,14.465,1.587,85.048,3.417,0.911,23.777,0.744,2.386,2.338,3.927,0.821,2.265,1.102,0.817,8.023,1.837,2.015,1.776,0.958,0.942,0.851,1.858,1.505,0.947,1.812
186,18.973,1.661,119.148,4.267,0.829,32.2,0.786,1.861,1.941,4.988,0.787,2.845,1.179,0.995,7.903,2.405,2.292,2.243,0.805,0.893,0.864,2.058,2.21,0.797,1.772
187,22.043,1.646,143.181,4.951,0.789,38.27,0.852,1.611,1.746,5.693,0.749,3.358,1.278,1.25,7.695,2.818,2.474,2.704,0.672,0.858,0.85,2.253,3.108,0.694,1.759
188,22.505,1.54,143.53,5.165,0.793,37.474,0.909,1.816,1.758,5.837,0.706,3.726,1.375,1.557,7.336,3.248,2.487,3.031,0.602,0.851,0.939,2.356,4.005,0.69,1.755
189,20.612,1.368,125.47,4.896,0.826,31.934,0.919,2.485,1.996,5.498,0.661,3.875,1.444,1.865,6.811,3.387,2.337,3.106,0.607,0.873,0.966,2.309,4.643,0.799,1.734
190,17.935,1.183,99.578,4.397,0.866,24.834,0.887,3.439,2.479,4.956,0.619,3.763,1.462,2.109,6.193,3.587,2.079,2.863,0.676,0.917,1.145,2.057,4.796,0.996,1.674
