itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
826,8.038,1.802,83.07,6.742,1.641,24.721,2.32,0.991,3.447,4.6,1.053,4.347,0.974,1.2,0.591,3.693,3.147,4.157,1.45,0.819,3.045,3.755,3.508,1.438,0.896
827,10.15,1.878,123.017,7.852,1.597,32.46,2.835,1.015,2.944,5.612,1.138,5.124,1.093,1.343,0.532,2.414,3.489,4.408,1.445,0.735,2.548,4.106,3.579,1.256,0.862
828,12.385,1.961,159.924,9.163,1.644,40.866,3.566,1.085,2.79,6.348,1.224,5.663,1.257,1.544,0.488,1.846,4.215,4.328,1.457,0.649,2.425,4.428,3.506,1.195,0.813
829,14.022,2.021,178.782,10.287,1.802,45.695,4.346,1.21,2.795,6.515,1.278,5.765,1.442,1.736,0.476,1.843,5.225,3.913,1.514,0.594,2.42,4.578,3.294,1.293,0.768
830,14.516,2.034,172.44,10.886,2.038,44.478,4.986,1.377,2.766,6.051,1.276,5.407,1.608,1.887,0.498,2.132,6.297,3.329,1.606,0.585,2.462,4.54,3.013,1.506,0.743
831,13.643,1.995,142.695,10.697,2.289,37.527,5.286,1.558,2.613,5.176,1.218,4.753,1.711,1.98,0.543,2.477,7.089,2.814,1.696,0.614,2.435,4.32,2.731,1.746,0.742
832,11.599,1.91,99.65,9.66,2.473,26.819,5.127,1.727,2.306,4.241,1.117,4.061,1.709,2.009,0.594,2.725,7.305,2.563,1.749,0.659,2.276,3.97,2.486,1.921,0.754
833,8.951,1.791,57.329,7.988,2.527,16.277,4.531,1.85,1.925,3.566,0.994,3.552,1.59,1.978,0.633,2.93,6.837,2.622,1.729,0.693,2.093,3.544,2.294,1.978,0.765
834,6.342,1.656,25.411,6.077,2.429,8.352,3.655,1.901,1.708,3.286,0.87,3.311,1.382,1.907,0.654,3.297,5.808,2.898,1.622,0.7,2.104,3.089,2.195,1.903,0.763
835,4.234,1.508,8.777,4.33,2.193,4.674,2.716,1.858,1.625,3.292,0.766,3.264,1.139,1.815,0.655,3.83,4.533,3.226,1.446,0.682,2.457,2.671,2.253,1.713,0.748
836,2.799,1.348,3.57,3.007,1.868,4.167,1.906,1.714,1.922,3.366,0.698,3.282,0.916,1.716,0.64,4.647,3.372,3.473,1.229,0.648,3.353,2.362,2.522,1.457,0.727
837,1.962,1.195,3.371,2.163,1.526,4.763,1.328,1.49,2.15,3.318,0.675,3.225,0.755,1.611,0.613,5.296,2.522,3.557,1.003,0.613,4.246,2.148,2.943,1.2,0.708
838,1.588,1.077,3.705,1.751,1.244,5.181,1.047,1.23,2.394,3.101,0.693,3.043,0.672,1.509,0.578,5.748,2.055,3.471,0.805,0.585,5.007,2.071,3.391,0.998,0.698
839,1.514,1.01,3.825,1.627,1.073,5.188,1.074,0.988,2.492,2.788,0.738,2.767,0.652,1.421,0.538,5.903,1.956,3.249,0.669,0.563,5.269,2.198,3.71,0.894,0.698
840,1.656,1.0,3.892,1.654,1.029,4.861,1.376,0.809,2.478,2.469,0.787,2.461,0.666,1.347,0.498,5.82,2.146,2.941,0.625,0.541,4.966,2.526,3.767,0.906,0.703
