itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
41,2.856,1.129,15.792,2.383,0.911,11.909,0.973,1.17,1.477,1.055,0.552,1.525,0.391,0.955,1.015,3.228,1.827,1.087,0.368,0.304,4.602,3.309,1.175,1.85,2.009
42,2.121,1.143,7.56,1.959,0.972,6.829,0.764,1.271,1.394,1.159,0.503,1.474,0.367,0.88,0.915,2.953,1.661,0.992,0.426,0.321,5.097,3.475,1.53,1.813,1.805
43,1.888,1.202,4.729,2.055,1.063,5.39,0.577,1.413,1.348,1.347,0.469,1.565,0.344,0.767,0.857,2.611,1.42,0.885,0.504,0.343,5.456,3.693,1.953,1.773,1.546
44,1.898,1.249,4.338,2.286,1.153,5.469,0.461,1.562,1.313,1.541,0.453,1.742,0.327,0.638,0.846,2.272,1.154,0.808,0.574,0.363,5.599,3.838,2.317,1.753,1.301
45,1.949,1.23,4.229,2.4,1.194,5.433,0.417,1.701,1.25,1.648,0.449,1.9,0.315,0.518,0.872,1.964,0.911,0.762,0.604,0.377,5.457,3.75,2.519,1.757,1.119
46,2.032,1.129,3.799,2.385,1.152,4.882,0.438,1.842,1.134,1.602,0.445,1.947,0.307,0.431,0.919,1.704,0.747,0.741,0.584,0.378,4.988,3.35,2.541,1.785,1.019
47,2.097,0.988,3.14,2.249,1.053,3.966,0.535,2.004,0.988,1.408,0.427,1.875,0.298,0.39,0.966,1.497,0.741,0.753,0.536,0.364,4.294,2.722,2.503,1.853,0.986
48,2.235,0.893,2.559,2.152,0.972,3.112,0.734,2.2,0.858,1.151,0.394,1.763,0.284,0.401,0.995,1.382,0.953,0.837,0.5,0.337,3.548,2.093,2.599,1.968,0.995
49,2.597,0.917,2.4,2.301,0.977,2.714,1.033,2.423,0.813,0.937,0.352,1.724,0.267,0.466,1.001,1.389,1.368,1.021,0.507,0.299,2.949,1.669,3.01,2.119,1.027
50,3.232,1.073,2.808,2.758,1.089,2.982,1.358,2.642,0.893,0.832,0.313,1.804,0.252,0.575,0.988,1.491,1.851,1.286,0.562,0.258,2.617,1.52,3.822,2.3,1.073
51,4.043,1.298,3.954,3.417,1.259,3.92,1.609,2.816,1.093,0.838,0.291,1.96,0.246,0.696,0.969,1.61,2.208,1.561,0.645,0.222,2.452,1.586,4.959,2.486,1.136
52,4.923,1.487,6.754,4.112,1.398,6.12,1.719,2.904,1.361,0.944,0.293,2.13,0.254,0.781,0.964,1.656,2.3,1.753,0.718,0.201,2.422,1.788,6.194,2.629,1.216
53,5.78,1.558,12.365,4.693,1.445,10.393,1.696,2.875,1.655,1.165,0.319,2.319,0.278,0.811,0.986,1.596,2.123,1.815,0.746,0.199,2.346,2.135,7.227,2.674,1.305
