itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
748,2.086,0.998,3.843,2.728,1.009,2.8,1.717,0.603,3.304,2.419,1.031,2.56,0.658,1.161,0.7,3.303,1.744,1.876,1.106,0.783,5.169,5.228,2.744,1.32,1.018
749,1.759,0.971,3.852,2.509,1.185,2.663,1.464,0.552,2.627,2.839,0.907,2.894,0.6,1.347,0.639,2.767,1.692,1.686,1.215,0.682,4.559,5.049,2.677,1.278,1.014
750,1.549,0.93,3.806,2.377,1.346,2.501,1.231,0.535,1.966,3.463,0.776,3.41,0.555,1.64,0.594,2.248,1.765,1.737,1.253,0.588,3.705,4.922,2.779,1.225,1.034
751,1.614,0.878,3.662,2.483,1.437,2.346,1.118,0.553,1.406,4.166,0.676,4.038,0.541,2.034,0.575,1.847,1.986,2.002,1.203,0.526,2.999,4.898,3.108,1.171,1.074
752,1.996,0.817,3.344,2.882,1.43,2.176,1.179,0.591,1.108,4.797,0.63,4.664,0.564,2.477,0.583,1.535,2.345,2.393,1.078,0.508,2.334,4.907,3.66,1.129,1.134
753,2.59,0.76,2.926,3.499,1.34,2.104,1.401,0.631,0.956,5.251,0.633,5.189,0.609,2.902,0.603,1.352,2.818,2.827,0.915,0.528,2.115,4.824,4.37,1.115,1.213
754,3.176,0.727,2.501,4.126,1.22,2.191,1.706,0.664,0.886,5.5,0.663,5.554,0.657,3.23,0.619,1.3,3.319,3.234,0.76,0.571,2.026,4.564,5.117,1.16,1.307
755,3.531,0.738,2.197,4.531,1.138,2.515,1.998,0.694,0.797,5.528,0.698,5.718,0.691,3.397,0.621,1.579,3.732,3.562,0.659,0.617,2.305,4.133,5.716,1.299,1.4
756,3.562,0.792,2.078,4.59,1.129,3.011,2.233,0.733,0.718,5.323,0.729,5.649,0.709,3.373,0.611,2.179,3.987,3.785,0.632,0.651,2.67,3.683,6.016,1.536,1.467
757,3.327,0.865,2.113,4.301,1.189,3.546,2.383,0.787,0.677,4.898,0.757,5.342,0.716,3.171,0.601,3.041,4.051,3.875,0.673,0.669,3.065,3.339,5.937,1.831,1.49
758,2.997,0.933,2.249,3.808,1.285,4.0,2.474,0.857,0.746,4.342,0.784,4.85,0.72,2.883,0.599,3.86,3.989,3.876,0.764,0.673,3.349,3.183,5.538,2.12,1.463
759,2.786,0.994,2.444,3.35,1.387,4.384,2.589,0.943,0.978,3.871,0.812,4.33,0.725,2.66,0.611,4.603,4.016,3.882,0.889,0.667,3.352,3.23,5.047,2.325,1.397
760,2.875,1.086,2.825,3.173,1.487,4.868,2.837,1.044,1.367,3.797,0.843,4.03,0.729,2.639,0.633,5.272,4.469,3.999,1.03,0.655,3.27,3.498,4.806,2.419,1.309
761,3.284,1.261,3.55,3.367,1.591,5.605,3.272,1.151,1.897,4.359,0.877,4.135,0.725,2.875,0.66,6.062,5.56,4.312,1.168,0.638,3.102,4.027,5.096,2.425,1.22
762,3.88,1.539,4.645,3.826,1.702,6.62,3.825,1.247,2.474,5.552,0.91,4.665,0.711,3.291,0.685,6.919,7.147,4.794,1.276,0.619,3.101,4.708,5.944,2.394,1.141
763,4.497,1.878,5.936,4.345,1.802,7.702,4.34,1.31,2.977,7.027,0.941,5.398,0.695,3.7,0.703,7.71,8.785,5.281,1.331,0.607,3.358,5.341,7.075,2.366,1.086
764,4.976,2.184,7.21,4.722,1.855,8.698,4.653,1.33,3.447,8.273,0.974,6.003,0.693,3.919,0.713,8.442,9.891,5.576,1.325,0.614,3.842,5.706,8.037,2.357,1.066
765,5.249,2.357,8.437,4.871,1.838,9.63,4.664,1.331,4.155,8.865,1.013,6.23,0.721,3.836,0.717,8.937,9.98,5.52,1.278,0.649,4.674,5.717,8.521,2.367,1.079
766,5.424,2.34,9.765,4.935,1.744,10.744,4.442,1.352,5.378,8.652,1.058,6.037,0.782,3.49,0.718,9.615,8.963,5.12,1.231,0.713,6.032,5.485,8.493,2.388,1.113
