itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
84,0.635,0.379,4.118,0.486,0.319,2.974,0.734,0.389,0.869,1.204,0.197,1.312,0.184,0.793,0.389,7.386,7.466,0.588,0.834,1.072,2.406,2.15,1.264,1.025,0.426
85,0.63,0.36,4.805,0.338,0.283,3.264,0.906,0.392,0.78,1.201,0.214,1.252,0.191,0.772,0.406,7.025,6.957,0.564,0.759,0.974,2.341,1.86,1.213,1.061,0.431
86,0.634,0.362,5.171,0.229,0.277,3.327,1.215,0.394,0.776,1.201,0.23,1.189,0.197,0.69,0.415,6.753,6.639,0.657,0.712,0.878,2.122,1.433,1.145,1.092,0.436
87,0.632,0.384,5.081,0.166,0.311,3.158,1.683,0.393,0.921,1.203,0.244,1.139,0.205,0.598,0.413,6.818,6.49,0.882,0.713,0.788,1.823,0.979,1.061,1.097,0.439
88,0.617,0.417,4.432,0.14,0.382,2.784,2.236,0.384,1.068,1.201,0.255,1.096,0.215,0.548,0.404,7.266,6.498,1.205,0.765,0.707,1.584,0.61,0.973,1.066,0.446
89,0.594,0.447,3.437,0.131,0.468,2.383,2.725,0.372,1.102,1.196,0.264,1.043,0.226,0.573,0.395,8.102,6.704,1.533,0.86,0.645,1.73,0.396,0.88,0.997,0.47
90,0.578,0.458,2.41,0.126,0.541,2.041,2.984,0.358,1.127,1.194,0.27,0.974,0.238,0.659,0.391,9.121,7.106,1.758,0.982,0.618,2.049,0.33,0.795,0.904,0.528
91,0.584,0.448,1.602,0.136,0.581,1.857,2.944,0.345,1.11,1.195,0.278,0.889,0.25,0.768,0.4,10.052,7.666,1.818,1.102,0.639,2.833,0.364,0.718,0.809,0.627
92,0.626,0.428,1.201,0.177,0.582,1.796,2.673,0.346,1.297,1.203,0.293,0.8,0.264,0.852,0.43,10.7,8.299,1.708,1.181,0.706,3.412,0.436,0.65,0.73,0.754
93,0.736,0.421,1.155,0.281,0.556,1.782,2.323,0.376,1.765,1.217,0.319,0.727,0.283,0.898,0.482,11.023,8.845,1.482,1.188,0.796,4.033,0.528,0.586,0.688,0.88
94,0.938,0.441,1.427,0.484,0.527,1.779,2.08,0.448,2.614,1.223,0.358,0.675,0.312,0.94,0.549,11.099,9.111,1.222,1.111,0.877,4.078,0.653,0.523,0.697,0.967
95,1.215,0.486,1.76,0.791,0.511,1.739,2.064,0.574,3.734,1.198,0.405,0.652,0.353,1.026,0.621,11.018,9.026,0.993,0.971,0.921,3.911,0.827,0.47,0.747,0.992
96,1.514,0.537,2.043,1.168,0.511,1.721,2.281,0.757,4.886,1.139,0.447,0.667,0.399,1.178,0.688,10.801,8.645,0.828,0.817,0.92,3.43,1.044,0.435,0.805,0.949
97,1.756,0.567,2.222,1.562,0.513,1.824,2.615,0.974,5.686,1.045,0.474,0.713,0.442,1.379,0.743,10.321,8.108,0.731,0.699,0.883,2.942,1.281,0.43,0.845,0.853
98,1.869,0.562,2.222,1.901,0.5,2.076,2.905,1.183,5.861,0.919,0.48,0.767,0.468,1.573,0.78,9.515,7.616,0.683,0.651,0.83,2.641,1.486,0.465,0.858,0.733
99,1.811,0.526,2.095,2.119,0.461,2.455,3.029,1.328,5.532,0.774,0.466,0.812,0.468,1.741,0.796,8.446,7.275,0.678,0.677,0.787,2.634,1.598,0.554,0.847,0.621
100,1.604,0.475,1.866,2.177,0.405,2.843,3.237,1.394,5.754,0.64,0.444,0.854,0.439,1.983,0.788,7.325,7.004,0.743,0.758,0.77,2.895,1.577,0.707,0.831,0.535
101,1.32,0.43,1.707,2.077,0.349,3.224,4.03,1.417,8.105,0.536,0.425,0.913,0.388,2.456,0.759,6.426,6.664,0.906,0.855,0.781,3.249,1.428,0.912,0.831,0.482
102,1.061,0.409,1.734,1.865,0.315,3.556,5.767,1.446,14.089,0.487,0.415,1.003,0.33,3.226,0.716,5.82,6.191,1.149,0.941,0.811,3.613,1.202,1.125,0.86,0.457
103,0.892,0.415,2.04,1.588,0.312,3.905,8.314,1.506,22.83,0.517,0.414,1.119,0.28,4.155,0.667,5.447,5.643,1.406,1.003,0.853,3.869,0.964,1.283,0.912,0.449
104,0.822,0.44,2.545,1.282,0.331,4.245,11.055,1.593,32.59,0.622,0.418,1.226,0.246,4.963,0.624,5.222,5.077,1.588,1.038,0.904,4.076,0.745,1.328,0.967,0.455
105,0.817,0.474,3.052,0.978,0.358,4.47,13.097,1.675,39.811,0.772,0.416,1.284,0.229,5.335,0.601,5.142,4.595,1.637,1.041,0.955,4.04,0.566,1.243,0.999,0.473
